Month	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	-0.0631	13.3363	0.09272	10	10.8	11.2	11.5	11.8	12.1	12.5	13.3	14.2	14.7	15	15.5	15.9	16.6	17.8
1	0.3448	14.5679	0.09556	10.7	11.6	12.1	12.4	12.9	13.2	13.6	14.6	15.5	16.1	16.4	17	17.3	18	19.3
2	0.1749	15.7679	0.09371	11.7	12.6	13.2	13.5	14	14.3	14.8	15.8	16.8	17.4	17.8	18.4	18.8	19.5	20.9
3	0.0643	16.3574	0.09254	12.3	13.2	13.7	14	14.5	14.9	15.4	16.4	17.4	18	18.4	19	19.4	20.3	21.7
4	-0.0191	16.6703	0.09166	12.6	13.5	14	14.3	14.8	15.2	15.7	16.7	17.7	18.3	18.8	19.4	19.8	20.6	22.1
5	-0.0864	16.8386	0.09096	12.8	13.7	14.2	14.5	15	15.3	15.8	16.8	17.9	18.5	18.9	19.6	20	20.8	22.4
6	-0.1429	16.9083	0.09036	12.9	13.7	14.3	14.6	15.1	15.4	15.9	16.9	18	18.6	19	19.6	20.1	20.9	22.5
7	-0.1916	16.902	0.08984	12.9	13.8	14.3	14.6	15.1	15.4	15.9	16.9	18	18.6	19	19.6	20.1	20.9	22.5
8	-0.2344	16.8404	0.08939	12.9	13.7	14.3	14.6	15	15.4	15.9	16.8	17.9	18.5	18.9	19.6	20	20.8	22.4
9	-0.2725	16.7406	0.08898	12.8	13.7	14.2	14.5	15	15.3	15.8	16.7	17.8	18.4	18.8	19.4	19.9	20.7	22.3
10	-0.3068	16.6184	0.08861	12.8	13.6	14.1	14.4	14.9	15.2	15.7	16.6	17.7	18.2	18.7	19.3	19.7	20.6	22.1
11	-0.3381	16.4875	0.08828	12.7	13.5	14	14.3	14.8	15.1	15.5	16.5	17.5	18.1	18.5	19.1	19.6	20.4	22
12	-0.3667	16.3568	0.08797	12.6	13.4	13.9	14.2	14.6	15	15.4	16.4	17.4	17.9	18.4	19	19.4	20.2	21.8
13	-0.3932	16.2311	0.08768	12.5	13.3	13.8	14.1	14.5	14.8	15.3	16.2	17.2	17.8	18.2	18.8	19.2	20.1	21.6
14	-0.4177	16.1128	0.08741	12.5	13.3	13.7	14	14.4	14.7	15.2	16.1	17.1	17.7	18.1	18.7	19.1	19.9	21.5
15	-0.4407	16.0028	0.08716	12.4	13.2	13.7	13.9	14.3	14.6	15.1	16	17	17.5	17.9	18.6	19	19.8	21.3
16	-0.4623	15.9017	0.08693	12.3	13.1	13.6	13.8	14.3	14.6	15	15.9	16.9	17.4	17.8	18.4	18.8	19.7	21.2
17	-0.4825	15.8096	0.08671	12.3	13	13.5	13.8	14.2	14.5	14.9	15.8	16.8	17.3	17.7	18.3	18.7	19.5	21.1
18	-0.5017	15.7263	0.0865	12.2	13	13.4	13.7	14.1	14.4	14.8	15.7	16.7	17.2	17.6	18.2	18.6	19.4	21
19	-0.5199	15.6517	0.0863	12.2	12.9	13.4	13.6	14.1	14.3	14.8	15.7	16.6	17.2	17.5	18.1	18.5	19.3	20.9
20	-0.5372	15.5855	0.08612	12.2	12.9	13.3	13.6	14	14.3	14.7	15.6	16.5	17.1	17.5	18.1	18.5	19.3	20.8
21	-0.5537	15.5278	0.08594	12.1	12.8	13.3	13.6	14	14.2	14.7	15.5	16.5	17	17.4	18	18.4	19.2	20.7
22	-0.5695	15.4787	0.08577	12.1	12.8	13.3	13.5	13.9	14.2	14.6	15.5	16.4	17	17.3	17.9	18.3	19.1	20.6
23	-0.5846	15.438	0.0856	12.1	12.8	13.2	13.5	13.9	14.2	14.6	15.4	16.4	16.9	17.3	17.9	18.3	19.1	20.6
24	-0.5989	15.4052	0.08545	12.1	12.8	13.2	13.5	13.9	14.1	14.6	15.4	16.3	16.9	17.3	17.8	18.2	19	20.5
